epoch,step,loss_D,loss_G,adv_G,rec_L1,percep
1,50,0.025399,59.803326,4.181734,0.556216,0.000000
1,100,0.370985,43.882389,1.722943,0.421594,0.000000
1,150,0.354841,175.096954,4.406131,0.460718,24.923809
2,50,1.044863,43.208630,0.241254,0.429674,0.000000
2,100,0.246888,45.995502,3.049891,0.429456,0.000000
2,150,0.347802,140.974731,3.386698,0.371506,20.087486
3,50,0.325684,49.288551,3.815524,0.454730,0.000000
3,100,0.789614,43.784370,0.144639,0.436397,0.000000
3,150,0.388620,148.170197,2.147121,0.415907,20.886469
4,50,1.166815,37.471195,2.885288,0.345859,0.000000
4,100,0.557833,39.281597,2.247222,0.370344,0.000000
4,150,0.880818,141.396790,0.316295,0.390363,20.408833
5,50,0.315361,45.372185,3.276257,0.420959,0.000000
5,100,0.412623,39.494545,1.435545,0.380590,0.000000
5,150,0.162422,133.026596,1.870943,0.345175,19.327635
6,50,0.471931,34.501717,4.081460,0.304203,0.000000
6,100,0.696329,34.625904,2.586417,0.320395,0.000000
6,150,0.619648,135.750549,1.725411,0.339282,20.019392
7,50,0.246433,36.275379,2.096644,0.341787,0.000000
7,100,0.553175,40.143429,2.916574,0.372269,0.000000
7,150,0.397155,137.850311,1.600346,0.357717,20.095650
8,50,0.438846,37.632763,1.876142,0.357566,0.000000
8,100,0.165448,39.500744,2.945912,0.365548,0.000000
8,150,0.433876,128.742569,1.683279,0.323973,18.932396
